RetailCategoryName,ProductName,TransactionDate,Store Name,Scoring Type,Scoring Value,Sum of #SalesAmount,Sum of #SalesQuantity
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-21 12:00:00,San Francisco,#OrdersScore,BAD,1540.5,5
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-20 12:00:00,San Francisco,#OrdersScore,BAD,955.5,3
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-21 12:00:00,San Francisco,SalesScore,MEDIUM,955.5,3
Women's Pants,Womens Snow Pants,2015-01-14 12:00:00,Bellevue,#OrdersScore,BAD,899.94,6
Women's Pants,Womens Snow Pants,2015-01-14 12:00:00,Bellevue,SalesScore,MEDIUM,899.94,6
Men's Outerwear,Mens Fleece Jacket,2015-01-25 12:00:00,Austin,#OrdersScore,BAD,639.96,4
Men's Outerwear,Mens Fleece Jacket,2015-09-18 12:00:00,Lone Tree,#OrdersScore,BAD,639.96,4
Men's Outerwear,Mens Fleece Jacket,2015-01-25 12:00:00,Austin,SalesScore,MEDIUM,639.96,4
Men's Outerwear,Mens Fleece Jacket,2015-09-18 12:00:00,Lone Tree,SalesScore,MEDIUM,639.96,4
Men's Outerwear,Mens Fleece Jacket,2015-12-10 12:00:00,Bellevue,SalesScore,MEDIUM,639.96,4
Men's Pants,Mens Snow Pants,2015-08-03 12:00:00,Lone Tree,#OrdersScore,BAD,599.96,4
Men's Pants,Mens Snow Pants,2016-07-02 12:00:00,Atlantic City,#OrdersScore,BAD,599.96,4
Men's Running Shoes,Mens Sneaker,2016-10-01 12:00:00,Atlanta,#OrdersScore,BAD,599.96,4
Men's Pants,Mens Snow Pants,2016-11-17 12:00:00,Cambridge,#OrdersScore,BAD,599.96,4
Men's Running Shoes,Mens Sneaker,2016-11-17 12:00:00,Cambridge,#OrdersScore,BAD,599.96,4
Men's Pants,Mens Snow Pants,2015-01-21 12:00:00,Cambridge,SalesScore,MEDIUM,599.96,4
Women's Pants,Womens Snow Pants,2015-01-28 12:00:00,Cincinnati,SalesScore,MEDIUM,599.96,4
Men's Pants,Mens Snow Pants,2015-08-03 12:00:00,Lone Tree,SalesScore,MEDIUM,599.96,4
Men's Pants,Mens Snow Pants,2016-07-02 12:00:00,Atlantic City,SalesScore,MEDIUM,599.96,4
Men's Running Shoes,Mens Sneaker,2016-10-01 12:00:00,Atlanta,SalesScore,MEDIUM,599.96,4
Men's Pants,Mens Snow Pants,2016-11-17 12:00:00,Cambridge,SalesScore,MEDIUM,599.96,4
Men's Running Shoes,Mens Sneaker,2016-11-17 12:00:00,Cambridge,SalesScore,MEDIUM,599.96,4
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-20 12:00:00,San Francisco,SalesScore,OK,585,2
Mens Shoes,Grand Cap Toe Leather Oxfords,2022-12-21 12:00:00,San Francisco,SalesScore,OK,585,2
Men's Outerwear,Mens Fleece Jacket,2015-01-11 12:00:00,Chicago,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-01-13 12:00:00,Houston,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-01-18 12:00:00,Atlantic City,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-04-13 12:00:00,Atlanta,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-05-12 12:00:00,Scottsdale,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-05-18 12:00:00,Oak Brook,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-07-14 12:00:00,Santa Clara,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-07-17 12:00:00,Cambridge,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-12-10 12:00:00,Bellevue,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2016-01-08 12:00:00,Scottsdale,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2016-04-12 12:00:00,Cincinnati,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2016-12-07 12:00:00,San Diego,#OrdersScore,BAD,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-01-11 12:00:00,Chicago,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-01-13 12:00:00,Houston,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-01-18 12:00:00,Atlantic City,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-04-13 12:00:00,Atlanta,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-05-12 12:00:00,Scottsdale,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-05-18 12:00:00,Oak Brook,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-07-01 12:00:00,Atlanta,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-07-14 12:00:00,Santa Clara,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-07-17 12:00:00,Cambridge,SalesScore,MEDIUM,479.97,3
Men's Outerwear,Mens Fleece Jacket,2015-09-02 12:00:00,Tysons Corner,SalesScore,MEDIUM,479.97,3
